external_id,hanzi,pinyin,translation_id,translation_en,source_name,source_url,source_version,verified_at
hsk3-4-0001,阿姨,āyí,bibi dari pihak ibu;ibu tiri;pekerja pengasuh anak,maternal aunt;step-mother;childcare worker,CLEC 新版HSK考试大纲,https://hsk.cn-bj.ufileos.com/3.0/%E6%96%B0%E7%89%88HSK%E8%80%83%E8%AF%95%E5%A4%A7%E7%BA%B21219.pdf,2025-11,2026-08-11
hsk3-4-0002,啊,ā,kata seru terkejut;Ah!;Oh!,interjection of surprise;Ah!;Oh!,CLEC 新版HSK考试大纲,https://hsk.cn-bj.ufileos.com/3.0/%E6%96%B0%E7%89%88HSK%E8%80%83%E8%AF%95%E5%A4%A7%E7%BA%B21219.pdf,2025-11,2026-08-11
hsk3-4-0003,矮,ǎi,"(dari seseorang) pendek;(dari dinding dll.) rendah;(dari peringkat) lebih rendah (dari), lebih rendah (dari)","(of a person) short;(of a wall etc) low;(of rank) inferior (to), lower (than)",CLEC 新版HSK考试大纲,https://hsk.cn-bj.ufileos.com/3.0/%E6%96%B0%E7%89%88HSK%E8%80%83%E8%AF%95%E5%A4%A7%E7%BA%B21219.pdf,2025-11,2026-08-11
hsk3-4-0004,矮小,ǎixiǎo,pendek dan kecil;rendah dan kecil;kerdil,short and small;low and small;undersized,CLEC 新版HSK考试大纲,https://hsk.cn-bj.ufileos.com/3.0/%E6%96%B0%E7%89%88HSK%E8%80%83%E8%AF%95%E5%A4%A7%E7%BA%B21219.pdf,2025-11,2026-08-11
hsk3-4-0005,爱国,àiguó,mencintai negara;patriotik,to love one's country;patriotic,CLEC 新版HSK考试大纲,https://hsk.cn-bj.ufileos.com/3.0/%E6%96%B0%E7%89%88HSK%E8%80%83%E8%AF%95%E5%A4%A7%E7%BA%B21219.pdf,2025-11,2026-08-11
hsk3-4-0006,爱护,àihù,menyayangi;menghargai;merawat,to cherish;to treasure;to take care of,CLEC 新版HSK考试大纲,https://hsk.cn-bj.ufileos.com/3.0/%E6%96%B0%E7%89%88HSK%E8%80%83%E8%AF%95%E5%A4%A7%E7%BA%B21219.pdf,2025-11,2026-08-11
hsk3-4-0007,安,ān,"(bentuk terikat) tenang, damai;menenangkan;aman, dalam kesehatan yang baik","(bound form) calm, peaceful;to calm, to set at ease;safe, secure, in good health",CLEC 新版HSK考试大纲,https://hsk.cn-bj.ufileos.com/3.0/%E6%96%B0%E7%89%88HSK%E8%80%83%E8%AF%95%E5%A4%A7%E7%BA%B21219.pdf,2025-11,2026-08-11
hsk3-4-0008,安置,ānzhì,mencari tempat untuk;membantu menetap;mengatur,to find a place for;to help settle down;to arrange for,CLEC 新版HSK考试大纲,https://hsk.cn-bj.ufileos.com/3.0/%E6%96%B0%E7%89%88HSK%E8%80%83%E8%AF%95%E5%A4%A7%E7%BA%B21219.pdf,2025-11,2026-08-11
hsk3-4-0009,按时,ànshí,tepat waktu;sebelum batas waktu;sesuai jadwal,on time;before deadline;on schedule,CLEC 新版HSK考试大纲,https://hsk.cn-bj.ufileos.com/3.0/%E6%96%B0%E7%89%88HSK%E8%80%83%E8%AF%95%E5%A4%A7%E7%BA%B21219.pdf,2025-11,2026-08-11
hsk3-4-0010,暗,àn,"gelap;menjadi gelap;rahasia, tersembunyi","dark;to turn dark;secret, hidden",CLEC 新版HSK考试大纲,https://hsk.cn-bj.ufileos.com/3.0/%E6%96%B0%E7%89%88HSK%E8%80%83%E8%AF%95%E5%A4%A7%E7%BA%B21219.pdf,2025-11,2026-08-11
hsk3-4-0011,暗示,ànshì,"mengisyaratkan, menyarankan;isyarat, saran","to hint, to suggest;hint, suggestion",CLEC 新版HSK考试大纲,https://hsk.cn-bj.ufileos.com/3.0/%E6%96%B0%E7%89%88HSK%E8%80%83%E8%AF%95%E5%A4%A7%E7%BA%B21219.pdf,2025-11,2026-08-11
hsk3-4-0012,巴士,bāshì,bus (kata pinjaman);bus motor,bus (loanword);motor coach,CLEC 新版HSK考试大纲,https://hsk.cn-bj.ufileos.com/3.0/%E6%96%B0%E7%89%88HSK%E8%80%83%E8%AF%95%E5%A4%A7%E7%BA%B21219.pdf,2025-11,2026-08-11
hsk3-4-0013,百货,bǎihuò,barang umum,general merchandise,CLEC 新版HSK考试大纲,https://hsk.cn-bj.ufileos.com/3.0/%E6%96%B0%E7%89%88HSK%E8%80%83%E8%AF%95%E5%A4%A7%E7%BA%B21219.pdf,2025-11,2026-08-11
hsk3-4-0014,摆,bǎi,mengatur;memamerkan;bergerak bolak-balik,to arrange;to exhibit;to move to and fro,CLEC 新版HSK考试大纲,https://hsk.cn-bj.ufileos.com/3.0/%E6%96%B0%E7%89%88HSK%E8%80%83%E8%AF%95%E5%A4%A7%E7%BA%B21219.pdf,2025-11,2026-08-11
hsk3-4-0015,摆动,bǎidòng,bergoyang;berayun;bergerak bolak-balik,to sway;to swing;to move back and forth,CLEC 新版HSK考试大纲,https://hsk.cn-bj.ufileos.com/3.0/%E6%96%B0%E7%89%88HSK%E8%80%83%E8%AF%95%E5%A4%A7%E7%BA%B21219.pdf,2025-11,2026-08-11
hsk3-4-0016,摆脱,bǎituō,melepaskan diri dari;menyingkirkan (ide lama dll.);menyingkirkan,to break away from;to cast off (old ideas etc);to get rid of,CLEC 新版HSK考试大纲,https://hsk.cn-bj.ufileos.com/3.0/%E6%96%B0%E7%89%88HSK%E8%80%83%E8%AF%95%E5%A4%A7%E7%BA%B21219.pdf,2025-11,2026-08-11
hsk3-4-0017,败,bài,mengalahkan;merusak;kalah (dari lawan),to defeat;to damage;to lose (to an opponent),CLEC 新版HSK考试大纲,https://hsk.cn-bj.ufileos.com/3.0/%E6%96%B0%E7%89%88HSK%E8%80%83%E8%AF%95%E5%A4%A7%E7%BA%B21219.pdf,2025-11,2026-08-11
hsk3-4-0018,办事,bànshì,menangani (urusan);bekerja,to handle (affairs);to work,CLEC 新版HSK考试大纲,https://hsk.cn-bj.ufileos.com/3.0/%E6%96%B0%E7%89%88HSK%E8%80%83%E8%AF%95%E5%A4%A7%E7%BA%B21219.pdf,2025-11,2026-08-11
hsk3-4-0019,包裹,bāoguǒ,membungkus;mengikat;berkas,to wrap up;to bind up;bundle,CLEC 新版HSK考试大纲,https://hsk.cn-bj.ufileos.com/3.0/%E6%96%B0%E7%89%88HSK%E8%80%83%E8%AF%95%E5%A4%A7%E7%BA%B21219.pdf,2025-11,2026-08-11
hsk3-4-0020,包含,bāohán,mengandung;mewujudkan;memasukkan,to contain;to embody;to include,CLEC 新版HSK考试大纲,https://hsk.cn-bj.ufileos.com/3.0/%E6%96%B0%E7%89%88HSK%E8%80%83%E8%AF%95%E5%A4%A7%E7%BA%B21219.pdf,2025-11,2026-08-11
hsk3-4-0021,包括,bāokuò,terdiri dari;mencakup;melibatkan,to comprise;to include;to involve,CLEC 新版HSK考试大纲,https://hsk.cn-bj.ufileos.com/3.0/%E6%96%B0%E7%89%88HSK%E8%80%83%E8%AF%95%E5%A4%A7%E7%BA%B21219.pdf,2025-11,2026-08-11
hsk3-4-0022,薄,báo,tipis;dingin dalam sikap;acuh tak acuh,thin;cold in manner;indifferent,CLEC 新版HSK考试大纲,https://hsk.cn-bj.ufileos.com/3.0/%E6%96%B0%E7%89%88HSK%E8%80%83%E8%AF%95%E5%A4%A7%E7%BA%B21219.pdf,2025-11,2026-08-11
hsk3-4-0023,宝,bǎo,permata;kenangan berharga;harta karun,jewel;gem;treasure,CLEC 新版HSK考试大纲,https://hsk.cn-bj.ufileos.com/3.0/%E6%96%B0%E7%89%88HSK%E8%80%83%E8%AF%95%E5%A4%A7%E7%BA%B21219.pdf,2025-11,2026-08-11
hsk3-4-0024,宝宝,bǎobao,"sayang, bayi","darling, baby",CLEC 新版HSK考试大纲,https://hsk.cn-bj.ufileos.com/3.0/%E6%96%B0%E7%89%88HSK%E8%80%83%E8%AF%95%E5%A4%A7%E7%BA%B21219.pdf,2025-11,2026-08-11
hsk3-4-0025,宝贝,bǎobèi,objek berharga;harta karun;sayang,treasured object;treasure;darling,CLEC 新版HSK考试大纲,https://hsk.cn-bj.ufileos.com/3.0/%E6%96%B0%E7%89%88HSK%E8%80%83%E8%AF%95%E5%A4%A7%E7%BA%B21219.pdf,2025-11,2026-08-11
hsk3-4-0026,宝贵,bǎoguì,berharga;bernilai;menghargai,valuable;precious;to value,CLEC 新版HSK考试大纲,https://hsk.cn-bj.ufileos.com/3.0/%E6%96%B0%E7%89%88HSK%E8%80%83%E8%AF%95%E5%A4%A7%E7%BA%B21219.pdf,2025-11,2026-08-11
hsk3-4-0027,宝石,bǎoshí,"batu mulia, permata;KP:枚颗","precious stone, gem",CLEC 新版HSK考试大纲,https://hsk.cn-bj.ufileos.com/3.0/%E6%96%B0%E7%89%88HSK%E8%80%83%E8%AF%95%E5%A4%A7%E7%BA%B21219.pdf,2025-11,2026-08-11
hsk3-4-0028,保密,bǎomì,merahasiakan sesuatu;menjaga kerahasiaan,to keep sth confidential;to maintain secrecy,CLEC 新版HSK考试大纲,https://hsk.cn-bj.ufileos.com/3.0/%E6%96%B0%E7%89%88HSK%E8%80%83%E8%AF%95%E5%A4%A7%E7%BA%B21219.pdf,2025-11,2026-08-11
hsk3-4-0029,保守,bǎoshǒu,konservatif;menjaga;memelihara,conservative;to guard;to keep,CLEC 新版HSK考试大纲,https://hsk.cn-bj.ufileos.com/3.0/%E6%96%B0%E7%89%88HSK%E8%80%83%E8%AF%95%E5%A4%A7%E7%BA%B21219.pdf,2025-11,2026-08-11
hsk3-4-0030,抱,bào,memegang;membawa (dalam pelukan);memeluk,to hold;to carry (in one's arms);to hug,CLEC 新版HSK考试大纲,https://hsk.cn-bj.ufileos.com/3.0/%E6%96%B0%E7%89%88HSK%E8%80%83%E8%AF%95%E5%A4%A7%E7%BA%B21219.pdf,2025-11,2026-08-11
hsk3-4-0031,背景,bèijǐng,"latar belakang, konteks;(kiasan) pendukung kuat","background, backdrop, context;(fig.) powerful backer",CLEC 新版HSK考试大纲,https://hsk.cn-bj.ufileos.com/3.0/%E6%96%B0%E7%89%88HSK%E8%80%83%E8%AF%95%E5%A4%A7%E7%BA%B21219.pdf,2025-11,2026-08-11
